Name,Price,Description,Rate,Rating_count,Details,image,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Tom Ford Black Orchid,391 SAR,"It's a Natural Eau de Parfum that with a composition that begins with notes of Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus, the heart notes of Black Orchid that represents the essence of the parfume, and the base notes of Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam which stays with you through out the day.
About the brand:
Tom Ford, is an American fashion designer and film director. The earliest fragrance was created in 2006 and the newest is from 2020.",5,1 Rating,"['Tom Ford', 'Unisex', 'Perfume', 'Natural', 'Woody', '100 ml', '2006', 'Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus, Black Orchid, Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam', 'Eau de Parfum', 'Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus', 'Black Orchid', 'Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/8/888066000062c-tom-ford-black-orchid---100-ml.jpg,Tom Ford,Unisex,Perfume,Natural,Woody,100 ml,2006,"Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus, Black Orchid, Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam",Eau de Parfum,"Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus",Black Orchid,"Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam"
The Finest Rose EDP - 100 ml,249 SAR,"""Luxurious, Floral and soft""
A fragrant blend with endless creativity! Luxurious with its saffron component, Floral thanks to its Bulgarian rose notes and lilies, and soft from its attractive and romantic musk notes. This distinctive fragrance will not leave your side, as it lasts for long hours, and brings out a harmonious & beautiful Rose scent.
About the brand:
Discover this collection of charming & velvety oriental perfumes ""The Finest"". A luxurious set characterized by its elegance & charm, introducing the most endearing Arabic notes in its essence. “The Finest” offers a new take on Oriental fragrances, revealing its uniqueness through its main 3 fragrances: Oud, Rose & Amber.",5,2 Rating,"['The Finest', 'Unisex', 'Perfume', 'Romantic', 'Floral', '100 ml', 'Saffron, Bulgarian Rose, Musk', 'Eau de Parfum', 'Saffron', 'Bulgarian Rose', 'Musk']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/the-finest-rose.jpg,The Finest,Unisex,Perfume,Romantic,Floral,100 ml,"Saffron, Bulgarian Rose, Musk",Eau de Parfum,Saffron,Bulgarian Rose,Musk,
Chopard Oud Malaki,295 SAR,"Composition of the new fragrance CHOPARD OUD MALAKI offers luminous accords of grapefruit in the very top of the composition, along with aromatic blend of artemisia and lavender. The heart accentuates masculinity with leather accords combined with tobacco and spices, while base notes highlight oriental notes with a combination of oud, ambergris and mysterious, dark, woody notes..",4.88,5 Rating,"['Chopard', 'Unisex', 'Perfume', 'Glamorous', 'Oriental', '80 ml', '2012', 'Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood', 'Eau de Parfum', 'Grapefruit, lavender, artemisia', 'Leather, spices, tobacco', 'Amber, dark woods, oud']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_chopard_perfumes_oud_malaki_eau_de_parfum_80ml.jpg,Chopard,Unisex,Perfume,Glamorous,Oriental,80 ml,2012,"Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood",Eau de Parfum,"Grapefruit, lavender, artemisia","Leather, spices, tobacco","Amber, dark woods, oud"
Lacoste Pour Femme,154 SAR,"This floral musky fragrance is full of sensuality, thanks to its combination of jasmine, rose and musk. It embodies the free spirit of the modern woman, providing the feeling of freshness and sweetness.
About the brand:
Lacoste is a French company, established in 1933 by tennis players René Lacoste and André Gillier. Its green crocodile logo refers to the nickname of René Lacoste, who was nicknamed ""the Crocodile"" by his fans, because of his tenacity on the tennis court. The company is committed to designing products that combine discovery, excellence, and style. It sells parfumes, clothing, leather goods, towels, footwear, sportswear, eyewear, and watches.",none,none,"['Lacoste', 'Women', 'Perfume', 'Romantic', 'Woody', '90 ml', '2003', 'Pepper, Freesia Accord, Hibiscus, Jasmine, Rose, Sandalwood, Incense, Cedar, Musk', 'Eau de Parfum', 'Pepper, Freesia Accord', 'Hibiscus, Jasmine, Rose', 'Sandalwood, Incense, Cedar, Musk']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/a/lacoste_pour_femme_eau_de_parfum_1.jpg,Lacoste,Women,Perfume,Romantic,Woody,90 ml,2003,"Pepper, Freesia Accord, Hibiscus, Jasmine, Rose, Sandalwood, Incense, Cedar, Musk",Eau de Parfum,"Pepper, Freesia Accord","Hibiscus, Jasmine, Rose","Sandalwood, Incense, Cedar, Musk"
Orto Parisi Terroni,720 SAR,"The magic of nature is in harmony with the scents of cashmere and musk drops to caress your skin with an almost imperceptible force as the sun rays caress the earth and green rouge on it to increase the excitement of your feelings and your attraction towards your companion with all calm and love. The perfume was perfectly designed to be suitable for both men and women to enjoy exciting and special moments together.
About the brand:
Orto Parisi is a modern brand in the world of perfumes that was newly established in Italy in 2014 and presented a simple set of perfumes, but with a high value and became immediately sold on the global market.",5,1 Rating,"['Orto Parisi', 'Unisex', 'Perfume', 'Extravagant', 'Aromatic', '50 ml', '2017', 'Cashmere wood, cotton candy, cibriol, musk, cedar', 'Eau de Parfum', 'Cashmere wood, cotton candy', 'Cypriol', 'Musk, rice']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8717774840863-orto-parisi-orto-parisi-terroni-_u_-parfum-50-ml-1.jpg,Orto Parisi,Unisex,Perfume,Extravagant,Aromatic,50 ml,2017,"Cashmere wood, cotton candy, cibriol, musk, cedar",Eau de Parfum,"Cashmere wood, cotton candy",Cypriol,"Musk, rice"
"Very Important Notes No 2 EDP - Saffron, Bulgarian Rose, Oud Wood, Amber - 100 ml",295 SAR,"For the Royal soul in you. This fragrance is the most profound scent from Very Important Notes collection. A true eastern masterpiece, merging amber, oud wood, Bulgarian rose & saffron to bring out an exquisite scent of the desert.
About the brand:
Mastering the art of fragrance, “Very Important Notes” is a unique collection designed by the Arabian perfume house SARIB®. Each fragrance unveils the most majestic notes from around the world, blended with Noble Arabian scents. This collection launches novel fragrances combined with European vibrant flowery ingredients, leaving a trail of enchanting timeless aroma.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.
*Approved by the Saudi Food & Drug Authority",5,1 Rating,"['Very Important Notes', 'Unisex', 'Perfume', 'Floral Oriental', '100 ml', '2020', 'Saffron, Pepper ,Rose ,Oud, Amber', 'Eau de Parfum', 'Saffron, Pepper', 'Rose', 'Oud, Amber']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/i/vin_2-ver2-3.jpg,Very Important Notes,Unisex,Perfume,Floral Oriental,100 ml,2020,"Saffron, Pepper ,Rose ,Oud, Amber",Eau de Parfum,"Saffron, Pepper",Rose,"Oud, Amber",
Chopard Happy Spirit,177 SAR,"This fruity fragrance comes with a fresh and sweet aroma of natural fruits that refreshes your senses and touches your heart with warmth and relaxation sensual feelings.
About the brand:
Chopard is emblematic of a natural, positive and responsible parfumery, Chopard places nature, ethics and luxury naturals at the very heart of its fragrance universe. Created by world-class parfumers and crafted from the highest quality ingredients and the most treasured naturals, responsibly sourced from across the world.",none,none,"['Chopard', 'Women', 'Perfume', 'Extravagant', 'Fruity', '75 ml', '2007', 'Berries, oranges, honeysuckles, osmanthus, cashmere woods, musk, amber', 'Eau de Parfum', 'Berries, oranges', 'Honey flowers, osmanthus', 'Cashmere woods, musk, amber']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/chopard_happy_spirit.jpg,Chopard,Women,Perfume,Extravagant,Fruity,75 ml,2007,"Berries, oranges, honeysuckles, osmanthus, cashmere woods, musk, amber",Eau de Parfum,"Berries, oranges","Honey flowers, osmanthus","Cashmere woods, musk, amber"
Givenchy L' Interdit,362 SAR,Givenchy L' Interditits new perfume for women with a new fragrance in a bold feminine style. With perfect and beautiful scents that allow no rules. An invitation to challenge convention and embrace your singularity.,none,none,"['Givenchy', 'Women', 'Perfume', 'Romantic', '50 ml', '2016', 'Orange Blossom, Jasmine And Tuberose, Vetiver And Patchouli.', 'Eau de Parfum']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3274872372146_givenchy_l_interdit_edp_50_ml.jpg,Givenchy,Women,Perfume,Romantic,50 ml,2016,"Orange Blossom, Jasmine And Tuberose, Vetiver And Patchouli.",Eau de Parfum,,,,
Tom Ford Ombre Leather EDP,569 SAR,"Tom Ford amber Leather Eau de parfume has an unparalleled scent that come from the heart of the Western Desert and is a unisex parfume. The product has a deep texture scent that prints with a tangible feel. It makes you feel different and beautiful.
About the brand:
Tom Ford is a famous American designer who launched his brand in 2005 with the aim of redefining modern luxury. These include men's clothes, women's clothing, accessories, sunglasses and parfumes",4.5,2 Rating,"['Tom Ford', 'Unisex', 'Perfume', 'Classical', 'Leather', '100 ml', '2018', 'Cardamom, ful, patchouli, amber and algae.', 'Eau de Parfum', 'Cardamom.', 'Ful', 'Patchouli, amber and algae']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/8/888066075145_tom_ford_ombre_leather_edp_100_ml.jpg,Tom Ford,Unisex,Perfume,Classical,Leather,100 ml,2018,"Cardamom, ful, patchouli, amber and algae.",Eau de Parfum,Cardamom.,Ful,"Patchouli, amber and algae"
Maqam Base of Melody EDP - 120 ml,319 SAR,"Playing its own melody & exotic oriental beauty, a true creative Arabian fragrance has emerged! Like a well-designed melody, this fragrance releases the most irresistible components gradually & elegantly. As it starts with gentle delicate notes of lavender & nutmeg, it then slowly draws you into a world of deeply earthy warm notes of patchouli & amber.
About the brand:
A brand designed to capture the essence of Arabian literature & honor the beauty of its written poems. Each fragrance from Maqam has been designed with famous Golden verses, to carry both exotic blends & inspiring words. These timeless fragrances are not easy to resist nor to be forgotten. Maqam was created by the founders of Sarib® - An Arabian perfume house, to capture the magic behind Arabian words & aromatic components, added into creatively crafted bottles to present its luxurious scents perfectly.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.
*Approved by the Saudi Food & Drug Authority",none,none,"['Maqam', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2020', 'Nutmeg, Lavender, Patchouli, Amber', 'Eau de Parfum', 'Nutmeg, Lavender', 'Patchouli', 'Amber']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maqam_base_of_melody-2.png,Maqam,Unisex,Perfume,Charismatic,Oriental,120 ml,2020,"Nutmeg, Lavender, Patchouli, Amber",Eau de Parfum,"Nutmeg, Lavender",Patchouli,Amber
Burberry London,170 SAR,"A magical fragrance that reflects an elegant and exciting nature, thanks to the fresh notes of fresh Clementine oil mixed with rose extract enriched with the sweetness of honey blossom, to give you a feeling of vitality and elegance. Burberry London was created in 2006 by Dominique Ropion. His advertising campaign was used by actress Rachel Weiss and actor Ian Grover.
About the brand:
Founded in 1856, Burberry is a trusted luxury design house, world famous for its accessories, tartan patterns, and sturdy trench coats . Their famous motifs are often copied and imitated across the globe; however, none can match the quality of this staple of British fashion. Their fragrances match many qualities of their apparel: classic, long-lasting, and elegant.",5,2 Rating,"['Burberry', 'Women', 'Perfume', 'Feminine', 'Floral', '100 ml', '2006', 'Rose, Honeysuckle, Tangerine, Jasmine, Clementine, Musk, Patchouli, Sandalwood', 'Eau de Parfum', 'Clementine, Honeysuckle, English Garden Rose', 'Tiare Flower, Jasmine, Peony, Musks', 'Indian Sandalwood, Patchouli']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/u/burberry-burberry_london_for_woman_edp.jpg,Burberry,Women,Perfume,Feminine,Floral,100 ml,2006,"Rose, Honeysuckle, Tangerine, Jasmine, Clementine, Musk, Patchouli, Sandalwood",Eau de Parfum,"Clementine, Honeysuckle, English Garden Rose","Tiare Flower, Jasmine, Peony, Musks","Indian Sandalwood, Patchouli"
Dolce & Gabanna L'imperatrice 3 Pour Femme,199 SAR,"Perfume for the energetic woman who is a hero in her movie in life every day! It keeps you vibrant and sparkling with irresistible attractiveness, a combination of kiwi, lemon and sandalwood.
About the brand:
Dolce & Gabbana was established in 1985 by two Italian fashion designers. Dolce & Gabbana has not only managed to build a loyal customer base in such a short span of time but it also partnered with Motorola and Sony Ericson for multiple campaigns. D&G has also partnered with football clubs namely AC Milan and Chelsea FC.",5,6 Rating,"['Dolce&Gabbana', 'Women', 'Perfume', 'Romantic', 'Floral', '100 ml', '2009', 'Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree', 'Eau de Toilette', 'Pink pepper, kiwi, rhubarb', 'jasmine, cyclamen, watermelon', 'musk, sandalwood, lemon trees.']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/4/3423473020615-dolce-_-gabbana-l_imperatrice-01_1_.png,Dolce&Gabbana,Women,Perfume,Romantic,Floral,100 ml,2009,"Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree",Eau de Toilette,"Pink pepper, kiwi, rhubarb","jasmine, cyclamen, watermelon","musk, sandalwood, lemon trees."
Xerjoff Casamorati La Tosca,1403 SAR,"XERJOFF Casamorati La Tosca Perfume an amazing for women, such perfect works of art! You will adore this glorious, elegant, charming perfume completely!",none,none,"['Xerjoff', 'Women', 'Perfume', 'Feminine', 'Floral', '100 ml', '2015', 'Violet Leaf, Eucalyptus, Musk, Patchouli, Green Mandarin, Italian Lemon, Rose, Amber, Vanilla', 'Eau de Parfum']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8033488154585-xerjoff-casamorati-la-tosca.png,Xerjoff,Women,Perfume,Feminine,Floral,100 ml,2015,"Violet Leaf, Eucalyptus, Musk, Patchouli, Green Mandarin, Italian Lemon, Rose, Amber, Vanilla",Eau de Parfum,,,
