Name,Price,Description,Rate,Rating_count,Details,image,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Memo Paris Marfa,1064 SAR,"Bold fragrance with orange and agave flowers that mixed with vanilla and white musk. It adds tuberose to cedar and warm sandalwood that gives you spiritual scent
About the brand:
In 2007, Clara and John Molloy established Memo as part of the adventure. It's a collection of scents from afar that now boasts fifteen fragrances, it takes a destination and makes it the point of departure for a sense-awakening epic.",none,none,"['Memo Paris', 'Unisex', 'Perfume', 'Charismatic', 'Floral Oriental', '75 ml', '2016', 'Neroli, Mandarin, Ylang Ylang, Agave, Tuberose, Vanilla, White Musk, Cedarwood, Sandalwood', 'Eau de Parfum', 'Neroli, Mandarin', 'Ylang Ylang, Agave, Tuberose', 'Vanilla, white musk, cedar wood, sandalwood']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/7/3700458612332_memo_paris_marfa_eau_de_parfum_75_ml_1.jpg,Memo Paris,Unisex,Perfume,Charismatic,Floral Oriental,75 ml,2016,"Neroli, Mandarin, Ylang Ylang, Agave, Tuberose, Vanilla, White Musk, Cedarwood, Sandalwood",Eau de Parfum,"Neroli, Mandarin","Ylang Ylang, Agave, Tuberose","Vanilla, white musk, cedar wood, sandalwood"
Giorgio Armani Si Passione,325 SAR,"Do you want to feel elegant and confident? Then this powerful and floral woody fragrance for you. It is characterized by its strong scents to leave a wonderful impact wherever you go. Do not hesitate to try it.
About the brand:
Girogio Armani has no competition when it comes to quality fragrances and perfumes for men and women. With an annual turnover of $1.6 billion as of 2017, Armani specializes in ready-to-wear, accessories, glasses, cosmetics, and perfumes. It is one of the most popular brands that have stopped using animal fur in their products.",none,none,"['Giorgio Armani', 'Women', 'Perfume', 'Glamorous', 'Floral', '100 ml', '2017', 'Pink Pepper, Pear, Black Currant, Grapefruit, Rose, Jasmine, Heliotrope, Pineapple, Cedar, Vanilla, Amberwood, Patchouli.', 'Eau de Parfum', 'Pink pepper, Pear, Blackcurrant', 'Rose, Jasmine, Heliotrope', 'Vanilla, Cedarwood']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_giorgio_armani_perfumes_s_passione_eau_de_parfum_for_women.jpg,Giorgio Armani,Women,Perfume,Glamorous,Floral,100 ml,2017,"Pink Pepper, Pear, Black Currant, Grapefruit, Rose, Jasmine, Heliotrope, Pineapple, Cedar, Vanilla, Amberwood, Patchouli.",Eau de Parfum,"Pink pepper, Pear, Blackcurrant","Rose, Jasmine, Heliotrope","Vanilla, Cedarwood"
"Candy Addict Ivory Musk Collection (Shower Gel, Hand Wash & Body Lotion x 250 ml)",79 SAR,"Description
Subtle. Classic. Soft.
Pure class in a bottle. A classic, timeless and elegant combination of rose, vanilla & musk. The perfect charming, everyday scent.
Set contains
Candy Addict Ivory Musk Shower Gel - 250 ml
Candy Addict Ivory Musk Body Lotion - 250 ml
Candy Addict Ivory Musk Hand Wash - 250 ml
About the brand:
Candy Addict is here to break the rules of perfume and bring you fresh, quirky, unforgettable scents that will keep heads turning all day long! Candy Addict was born out of a love for all things fragrance. We use these fabulous fragrances to bring you an incredible range of hair & body mists, perfumes, home fragrances & a wonderful bath & body selections!
Life is about diversity! Feeling joyful and sweet? Marshmallow Mash is your girl. Feeling sassy? V Vanille has got you! Let's celebrate beautiful scents and the wonderful world of Candy Addict. Our magnetic creations will keep you coming back for more. Ready to meet your next obsession?",5,1 Rating,"['Candy Addict', 'Bundles']",https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/s/b/sb100224-ivory-musk-_shower-gel_-hand-wash-_-body-lotion-x-250ml_-collection-1.jpg,Candy Addict,Bundles,,,,,,,,,,
Uniqo Tempesta EDP - 100 ml,110 SAR,"A unique scent inspired by the magnetic force of Tempesta (Storm in Italian). This life-shifting power, chaotic yet undescribable with its' blend of marine accords, bay leaf & ambergris.
About the brand:
Every dot matters & every characteristic in us is unique! UNIQO is an Italian inspired brand, that celebrates uniqueness by bringing the most enchanting moments & rare elements into life in every single bottle.",5,1 Rating,"['Uniqo', 'Men', 'Perfume', 'Extravagant', 'Aromatic', '100 ml', '2019', 'Marine Accords, Bay Leaf, Ambergris', 'Eau de Parfum', 'Marine Accords', 'Bay Leaf', 'Ambergris']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/uniqo-tempesta.png,Uniqo,Men,Perfume,Extravagant,Aromatic,100 ml,2019,"Marine Accords, Bay Leaf, Ambergris",Eau de Parfum,Marine Accords,Bay Leaf,Ambergris
Roberto Cavalli Uomo Roberto Cavalli,167 SAR,"an elegant oriental fragrance for men that gives you great natural confidence and temptation, with a mixture of black violet, honey, and tonka beans.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",4.75,12 Rating,"['Roberto Cavalli', 'Men', 'Perfume', 'Charismatic', 'Oriental', '100 ml', '2016', 'Black Violet, Saffron, Honey, Lavender, Cedarwood, Patchouli, Tonka.', 'Eau de Toilette', 'Black violet, Saffron', 'Honey, Lavender', 'Cedarwood, Patchouli, Tonka.']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_roberto_cavalli_perfumes_uomo_for_men_eau_de_toilette.jpg,Roberto Cavalli,Men,Perfume,Charismatic,Oriental,100 ml,2016,"Black Violet, Saffron, Honey, Lavender, Cedarwood, Patchouli, Tonka.",Eau de Toilette,"Black violet, Saffron","Honey, Lavender","Cedarwood, Patchouli, Tonka."
Mancera Roses Vanille,409 SAR,"The perfumer Pierre Mancera presents Roses Vanille which hits you first with notes of fresh lemon of calabria and then sneaks on you with turkish delight and rose with the base notes of cedarwood, intense vanilla & white musk, which lingers on with you the whole day long with Sweet enough to capture you, rich enough to keep you and complex enough to seduce you fragrance.
About the brand:
Perfumer Pierre Montale started Mancera’s brand in 2008 and opened his first Mancera luxurious perfume boutique at Place Vendome in Paris. Mancera perfumes are known for being made from precious and luxurious ingredients, rare and refined materials.",4.93,18 Rating,"['Mancera', 'Unisex', 'Perfume', 'Feminine', 'Floral', '120 ml', 'Fresh Lemon of Calabria, Turkish delight with Rose, Cedarwood, Intense Vanilla & White Musk', 'Eau de Parfum', 'Fresh Lemon of Calabria', 'Turkish delight, Rose', 'Cedarwood, Intense Vanilla & White Musk']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/mancera_roses_vanille_3_1.jpg,Mancera,Unisex,Perfume,Feminine,Floral,120 ml,"Fresh Lemon of Calabria, Turkish delight with Rose, Cedarwood, Intense Vanilla & White Musk",Eau de Parfum,Fresh Lemon of Calabria,"Turkish delight, Rose","Cedarwood, Intense Vanilla & White Musk",
Boucheron Quatre Pour Femme,240 SAR,"A fresh fragrance with delicious fruits of peach, strawberry, mandarin, orange, and apple that mixes with a soft and delicate scent of jasmine. This fragrance will touch your soul and adds a strong sense of happiness and beauty from the first moment.
About the brand:
Boucheron is a large French family whose founder was Friedrich Boucheron in 1958, the family became famous for making precious and luxurious jewelry and opened the first boutique at Place Vendôme in Paris to offer that jewelry to the public and then invaded the world of parfumes for the first time in 1988 and the first parfume launched in this year is parfume The women's Bushoron, which soon spread to France and abroad",5,4 Rating,"['Boucheron', 'Women', 'Perfume', 'Extravagant', 'Fruity', '50 ml', '2015', 'Mandarin, orange, lemon, grapefruit, strawberry, rose, peach, jasmine, apple, cedar, vanilla, cashmere, caramel', 'Eau de Parfum', 'Mandarin, orange, lemon, grapefruit', 'Strawberry, rose, peach, jasmine, apple', 'Cedarwood, vanilla, cashmere, caramel']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_boucheron_perfumes_quatre_pour_femme_for_women_eau_de_perfum.jpg,Boucheron,Women,Perfume,Extravagant,Fruity,50 ml,2015,"Mandarin, orange, lemon, grapefruit, strawberry, rose, peach, jasmine, apple, cedar, vanilla, cashmere, caramel",Eau de Parfum,"Mandarin, orange, lemon, grapefruit","Strawberry, rose, peach, jasmine, apple","Cedarwood, vanilla, cashmere, caramel"
Mont Blanc Explorer,205 SAR,"It is an amazing woody fragrance, designed for men. It's a fragrance that tells the story of adventures, quests and aspirations, in addition to exploring the world. High notes consist of Clary Sage, Pink Pepper, Bergamot, while bottom notes consist of Vetiver, Leather, Cedarwood. This complete blend gives an attractive fragrance.
About the brand:
The Mont Blanc is named after the snow-capped peak of the Alps. The firm has made a mark in the market for prestigious writing instruments for years, but has also expanded into a plethora of different product lines, from Swiss-made watches to eyewear and fragrances in an attempt to complete the luxurious lifestyle, all capped with the emblematic white peak design. The Mont Blanc has distinctive fragrances which are reminders of special moments, aimed at men and women who know how to distinguish themselves in a royal, elegant manner.",4.42,13 Rating,"['Mont Blanc', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2019', 'Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood', 'Eau de Parfum', 'Clary Sage, Pink Pepper, Bergamot', 'Patchouli, Mahonial, Ambrofix', 'Vetiver, Leather, Cedarwood']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/3386460101035c-mont-blanc-explorer---100-ml.jpg,Mont Blanc,Men,Perfume,Charismatic,Aromatic,100 ml,2019,"Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood",Eau de Parfum,"Clary Sage, Pink Pepper, Bergamot","Patchouli, Mahonial, Ambrofix","Vetiver, Leather, Cedarwood"
Roberto Cavalli Paradiso Azzurro,174 SAR,"A floral fragrance for women inspired by the pictures of the golden light of the sunrise over the blue Mediterranean waters, with its enchanting blend of bergamot, peach, Kashmiri wood and vanilla.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",5,3 Rating,"['Roberto Cavalli', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2015', 'Citrus freshness, bergamot, lavender, wild jasmine, petals, cypress, cashmere.', 'Eau de Parfum', 'Citrus, Bergamot, Lavender', 'wild jasmine, petals', 'Cypress, Cashmere woods']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_roberto_cavalli_perfumes_paradiso_azzurro_for_women_eau_de_parfum.jpg,Roberto Cavalli,Women,Perfume,Romantic,Floral,50 ml,2015,"Citrus freshness, bergamot, lavender, wild jasmine, petals, cypress, cashmere.",Eau de Parfum,"Citrus, Bergamot, Lavender","wild jasmine, petals","Cypress, Cashmere woods"
Parfums de Marly Layton Exclusif EDP,1438 SAR,"Luxurious woody fragrance made of the most rare components around the world. It all starts with notes of almond and bergamot mixed with sweetness of mandarin orange. The watery notes add some touch to the scent, which make it special. The rich heart has notes of rose and gardenia, mixed with geranium and the delicate water lily. The base has accords of guaiac wood, mixed with luxurious oud and Indonesian Patchouli and the amazing sandalwood. The notes of amber and oakmoss, mixed with pink pepper and vanilla adds to the richness of the composition.
About the brand:
Parfums de Marly is a French global brand that specializes in luxury perfumes and offers an original concept of luxury perfumes inspired from the eighteenth century, when the best perfumes were made for King Louis XV as an appreciation for the prestigious horse races in which he was expert.",none,none,"['Parfums de Marly', 'Unisex', 'Perfume', 'Modern', 'Floral Oriental', '125 ml', '2017', 'Almond, Mandarin Orange, Bergamot, Watery Notes, Civet, Geranium, Rose, Gardenia, Water Lily, Guaiac Wood, Laotian Oud, Vanilla, Coffee, Sandalwood, Indonesian Patchouli Leaf, Oakmoss, Amber, Pink Pepper', 'Eau de Parfum', 'Almond, Mandarin Orange, Bergamot, Watery Notes', 'Civet, Geranium, Rose, Gardenia, Water Lily', 'Guaiac Wood, Laotian Oud, Vanilla, Coffee, Sandalwood, Indonesian Patchouli Leaf, Oakmoss, Amber, Pink Pepper']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/7/3700578518149_marly_layton_exclusif_edition_royal.jpg,Parfums de Marly,Unisex,Perfume,Modern,Floral Oriental,125 ml,2017,"Almond, Mandarin Orange, Bergamot, Watery Notes, Civet, Geranium, Rose, Gardenia, Water Lily, Guaiac Wood, Laotian Oud, Vanilla, Coffee, Sandalwood, Indonesian Patchouli Leaf, Oakmoss, Amber, Pink Pepper",Eau de Parfum,"Almond, Mandarin Orange, Bergamot, Watery Notes","Civet, Geranium, Rose, Gardenia, Water Lily","Guaiac Wood, Laotian Oud, Vanilla, Coffee, Sandalwood, Indonesian Patchouli Leaf, Oakmoss, Amber, Pink Pepper"
Juicy Couture Viva La Juicy,252 SAR,"alluring and charming, this fragrance is inspired by the sparkling girl. the Viva la Juicy girl finds priceless elegance in the everyday. Viva la Juicy mixes attractive wild berries and mandarin with creamy vanilla, praline, jasmine, and honeysuckle. Hugging the imprint Juicy addiction, Viva la Juicy is both hilarious and charming.
About the brand:
Juicy Couture is a fashion brand, it has become popular in designing men's tuxedos, and it also creates many different product lines such as Juicy Couture, Couture Couture, Juicy for Men, pets for children and pets as well. Then it released its first parfume in 2006 and its latest releases in 2020.",4.75,6 Rating,"['Juicy Couture', 'Women', 'Perfume', 'Extravagant', 'Fruity', '100 ml', '2008', 'mandarin, Cranberry, Honeysuckle, Gardenia, Jasmine, amber, Caramel, Almond Candy, Sandalwood, Vanilla', 'Eau de Parfum', 'mandarin, Cranberry', 'capricorn, Gardenia, Jasmine,', 'Amber, Caramel, Almond Candy, Sandalwood, Vanilla']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/u/juicy_couture_viva_la_juicy.jpg,Juicy Couture,Women,Perfume,Extravagant,Fruity,100 ml,2008,"mandarin, Cranberry, Honeysuckle, Gardenia, Jasmine, amber, Caramel, Almond Candy, Sandalwood, Vanilla",Eau de Parfum,"mandarin, Cranberry","capricorn, Gardenia, Jasmine,","Amber, Caramel, Almond Candy, Sandalwood, Vanilla"
Maqam Base of Soul EDP - 120 ml,319 SAR,"It takes only one encounter to fall in love with this oriental fragrance & reside in your memories forever! It has been composed as a sensual aroma, taking you on a profound journey into the world of Eastern notes. You will wander between saffron & rose elegance, settling on a soulful base combined by musk & sandalwood.
About the brand:
A brand designed to capture the essence of Arabian literature & honor the beauty of its written poems. Each fragrance from Maqam has been designed with famous Golden verses, to carry both exotic blends & inspiring words. These timeless fragrances are not easy to resist nor to be forgotten. Maqam was created by the founders of Sarib® - An Arabian perfume house, to capture the magic behind Arabian words & aromatic components, added into creatively crafted bottles to present its luxurious scents perfectly.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.
*Approved by the Saudi Food & Drug Authority",5,1 Rating,"['Maqam', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2020', 'Saffron, Rose, Musk, Sandalwod', 'Eau de Parfum', 'Saffron', 'Rose', 'Musk, Sandalwod']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maqam_base_of_soul-2.png,Maqam,Unisex,Perfume,Charismatic,Oriental,120 ml,2020,"Saffron, Rose, Musk, Sandalwod",Eau de Parfum,Saffron,Rose,"Musk, Sandalwod"
