Name,Price,Description,Rate,Rating_count,Details,image,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
The Finest Rose EDP - 100 ml,249 SAR,"""Luxurious, Floral and soft""
A fragrant blend with endless creativity! Luxurious with its saffron component, Floral thanks to its Bulgarian rose notes and lilies, and soft from its attractive and romantic musk notes. This distinctive fragrance will not leave your side, as it lasts for long hours, and brings out a harmonious & beautiful Rose scent.
About the brand:
Discover this collection of charming & velvety oriental perfumes ""The Finest"". A luxurious set characterized by its elegance & charm, introducing the most endearing Arabic notes in its essence. “The Finest” offers a new take on Oriental fragrances, revealing its uniqueness through its main 3 fragrances: Oud, Rose & Amber.",5,2 Rating,"['The Finest', 'Unisex', 'Perfume', 'Romantic', 'Floral', '100 ml', 'Saffron, Bulgarian Rose, Musk', 'Eau de Parfum', 'Saffron', 'Bulgarian Rose', 'Musk']",none,The Finest,Unisex,Perfume,Romantic,Floral,100 ml,"Saffron, Bulgarian Rose, Musk",Eau de Parfum,Saffron,Bulgarian Rose,Musk,
Tom Ford Black Orchid,569 SAR,"It's a Natural Eau de Parfum that with a composition that begins with notes of Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus, the heart notes of Black Orchid that represents the essence of the parfume, and the base notes of Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam which stays with you through out the day.
About the brand:
Tom Ford, is an American fashion designer and film director. The earliest fragrance was created in 2006 and the newest is from 2020.",5,1 Rating,"['Tom Ford', 'Unisex', 'Perfume', 'Natural', 'Woody', '100 ml', '2006', 'Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus, Black Orchid, Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam', 'Eau de Parfum', 'Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus', 'Black Orchid', 'Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam']",none,Tom Ford,Unisex,Perfume,Natural,Woody,100 ml,2006,"Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus, Black Orchid, Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam",Eau de Parfum,"Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus",Black Orchid,"Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam"
Giorgio Armani Emporio Armani Stronger With You Intensely,375 SAR,"for every romantic gentle man, This strong fascinating fragrance is for you. It was released to capture all people hearts from the first smell to tell a story of an outstanding emotional man who is deeply in love and is ready to do anything for their lovers.
About the brand:
Girogio Armani has no competition when it comes to quality fragrances and perfumes for men and women. With an annual turnover of $1.6 billion as of 2017, Armani specializes in ready-to-wear, accessories, glasses, cosmetics, and perfumes. It is one of the most popular brands that have stopped using animal fur in their products.",5,3 Rating,"['Giorgio Armani', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2019', 'Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber', 'Eau de Parfum', 'Pink pepper, Juniper, Violet leaf', 'Lavender, Sage, Toffee, Cinnamon', 'Tonka bean, Suede, Amber, Vanilla']",none,Giorgio Armani,Men,Perfume,Charismatic,Aromatic,100 ml,2019,"Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber",Eau de Parfum,"Pink pepper, Juniper, Violet leaf","Lavender, Sage, Toffee, Cinnamon","Tonka bean, Suede, Amber, Vanilla"
Lalique Encre Noir,165 SAR,"Lalique Encre Noir is a breathtaking woody, aromatic scent for men. The opening notes are fresh and woody thanks to Cypress and Vetiveryl Acetate. At the heart, Haiti Vetyver and Bourbon Vetyver add a mysterious woodsy touch. The dry-down is charming with Cashmere Wood and Musks. The sexy signature fragrance enhanced with masculine woody notes promises subtle and rare sophistication. It brings back memories of long forgotten memories and lost places. The fragrance unites with nature giving the vibe of a dark forest and gloomy landscape. The iconic black bottle is the perfect last touch to a mind-blowing scent.",5,3 Rating,"['Lalique', 'Men', 'Perfume', 'Masculine', 'Oriental', '100 ml', '2005', 'Vetiver, Cypress, Cashmere Wood, Musk', 'Eau de Toilette', 'Cypress, Vetiveryl Acetate', 'Haiti Vetyver, Bourbon Vetyver', 'Cashmere Wood, Musks']",none,Lalique,Men,Perfume,Masculine,Oriental,100 ml,2005,"Vetiver, Cypress, Cashmere Wood, Musk",Eau de Toilette,"Cypress, Vetiveryl Acetate","Haiti Vetyver, Bourbon Vetyver","Cashmere Wood, Musks"
"Very Important Notes No 2 EDP - Saffron, Bulgarian Rose, Oud Wood, Amber - 100 ml",295 SAR,"For the Royal soul in you. This fragrance is the most profound scent from Very Important Notes collection. A true eastern masterpiece, merging amber, oud wood, Bulgarian rose & saffron to bring out an exquisite scent of the desert.
About the brand:
Mastering the art of fragrance, “Very Important Notes” is a unique collection designed by the Arabian perfume house SARIB®. Each fragrance unveils the most majestic notes from around the world, blended with Noble Arabian scents. This collection launches novel fragrances combined with European vibrant flowery ingredients, leaving a trail of enchanting timeless aroma.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.
*Approved by the Saudi Food & Drug Authority",5,1 Rating,"['Very Important Notes', 'Unisex', 'Perfume', 'Floral Oriental', '100 ml', '2020', 'Saffron, Pepper ,Rose ,Oud, Amber', 'Eau de Parfum', 'Saffron, Pepper', 'Rose', 'Oud, Amber']",none,Very Important Notes,Unisex,Perfume,Floral Oriental,100 ml,2020,"Saffron, Pepper ,Rose ,Oud, Amber",Eau de Parfum,"Saffron, Pepper",Rose,"Oud, Amber",
Guerlain Le Frenchy EDP,1999 SAR,"- A citrus aromatic fragrance, Guerlain Le Frenchy, conjures up the majestic royal authority with a prevailing sense of peace and comfort.
- This powerful fragrance is not afraid to be noticed with a burst of confidence and bold notes.
- Respect inspired by the irresistible opening scent of bergamot, lemon verbena and lemon.
- Moving forward to a sweet, fresh floral scent petitgrain, citron, neroli, lavender and sage that bring a sense of reassuring sentiment in the nucleus.
- Vetiver, ambergris and tonka beans melt together peacefully at the base to captivate you with all their power and leave you wanting more.
About the brand:
Guerlain is a French perfume, cosmetics and skincare house which is among the oldest in the world. The house was founded in Paris in 1828 by the perfumer Pierre-François Pascal Guerlain. It was acquired in 1994 by the LVMH group, a French multinational investment corporation specializing in luxury brands.",none,none,"['Guerlain', 'Men', 'Perfume', 'Dynamic', 'Citrus', '100 ml', '2017', 'Bergamot, Lemon Verbena, Lemon, Petitgrain, Citron, Neroli, Lavender, Sage, Vetiver, Ambergris, Tonka Bean', 'Eau de Parfum', 'Bergamot, Lemon Verbena, Lemon', 'Petitgrain, Citron, Neroli, Lavender, Sage', 'Vetiver, Ambergris, Tonka Bean']",none,Guerlain,Men,Perfume,Dynamic,Citrus,100 ml,2017,"Bergamot, Lemon Verbena, Lemon, Petitgrain, Citron, Neroli, Lavender, Sage, Vetiver, Ambergris, Tonka Bean",Eau de Parfum,"Bergamot, Lemon Verbena, Lemon","Petitgrain, Citron, Neroli, Lavender, Sage","Vetiver, Ambergris, Tonka Bean"
Jaguar Classic Black,95 SAR,"Jaguar Classic Black is a limited fougere oriental fragrance that portrays elegance and style. The top notes open with invigorating mandarin, bitter orange and green apples. The scent develops in the heart giving a spicy feel thanks to cardamom, black tea, musk and geranium. The dry-down leaves a nice trail owning to creamy notes of sandalwood, cedar, moss, vetiver and Tonka. Classic Black is a symbol of luxury, sophistication and refinement. This versatile fragrance is suitable for daywear and nights out, for breezy fall and sunny summer. Flaunt your charisma with Classic Black from Jaguar.",3.5,1 Rating,"['Jaguar', 'Men', 'Perfume', 'Charismatic', 'Oriental', '100 ml', '2002', 'Green Apple, Tangerine, Orange,Cardamom, Nutmeg, Black Tea,Sandalwood, White Musk, Cedarwood', 'Eau de Toilette', 'Green Apple, Tangerine, Orange', 'Cardamom, Nutmeg, Black Tea', 'Sandalwood, White Musk, Cedarwood']",none,Jaguar,Men,Perfume,Charismatic,Oriental,100 ml,2002,"Green Apple, Tangerine, Orange,Cardamom, Nutmeg, Black Tea,Sandalwood, White Musk, Cedarwood",Eau de Toilette,"Green Apple, Tangerine, Orange","Cardamom, Nutmeg, Black Tea","Sandalwood, White Musk, Cedarwood"
Calvin Klein Euphoria Men Intense,145 SAR,"A mixture of an infinite number of oriental spices with strong fragrances that give you a distinctive oriental charm and a shiny romantic touch that makes you special on special days and special evenings, the fragrance has a strong smell that spreads quickly and draws attention easily to you
About the brand:
Founded in 1856, Burberry is a trusted luxury design house, world famous for its accessories, tartan patterns, and sturdy trench coats . Their famous motifs are often copied and imitated across the globe; however, none can match the quality of this staple of British fashion. Their fragrances match many qualities of their apparel: classic, long-lasting, and elegant.",4,3 Rating,"['Calvin Klein', 'Men', 'Perfume', 'Romantic', 'Soft Oriental', '100 ml', '2008', 'ginger, hot pepper, warm cedar, smoky vetiver, savory sage, spicy black basil, myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood', 'Eau de Toilette', 'ginger, hot pepper', 'warm cedar, smoky vetiver, savory sage, spicy black basil', 'myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood']",none,Calvin Klein,Men,Perfume,Romantic,Soft Oriental,100 ml,2008,"ginger, hot pepper, warm cedar, smoky vetiver, savory sage, spicy black basil, myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood",Eau de Toilette,"ginger, hot pepper","warm cedar, smoky vetiver, savory sage, spicy black basil","myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood"
Maqam Base of Melody EDP - 120 ml,319 SAR,"Playing its own melody & exotic oriental beauty, a true creative Arabian fragrance has emerged! Like a well-designed melody, this fragrance releases the most irresistible components gradually & elegantly. As it starts with gentle delicate notes of lavender & nutmeg, it then slowly draws you into a world of deeply earthy warm notes of patchouli & amber.
About the brand:
A brand designed to capture the essence of Arabian literature & honor the beauty of its written poems. Each fragrance from Maqam has been designed with famous Golden verses, to carry both exotic blends & inspiring words. These timeless fragrances are not easy to resist nor to be forgotten. Maqam was created by the founders of Sarib® - An Arabian perfume house, to capture the magic behind Arabian words & aromatic components, added into creatively crafted bottles to present its luxurious scents perfectly.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.
*Approved by the Saudi Food & Drug Authority",none,none,"['Maqam', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2020', 'Nutmeg, Lavender, Patchouli, Amber', 'Eau de Parfum', 'Nutmeg, Lavender', 'Patchouli', 'Amber']",none,Maqam,Unisex,Perfume,Charismatic,Oriental,120 ml,2020,"Nutmeg, Lavender, Patchouli, Amber",Eau de Parfum,"Nutmeg, Lavender",Patchouli,Amber
Nasomatto Black Afgano Extrait De Parfum,668 SAR,"A dark woody fragrance that lasts for hours, with a rich blend of coffee and tobacco that excite emotions to bring the best quality of fragrances for an exciting experience not to be missed.
About the brand:
A brand founded in 2007 by Alessandro Galtieri, a parfume expert who has trained in Germany for 18 years. The headquarter of Nasomatto is in Amsterdam. Nasomatto in Italian means crazy nose. Galtieri refuses to announce the accurate notes of his parfumes, and they are specially designed to attract those who invests time in effort to choose the perfect parfume that suits their personality.",none,none,"['Nasomatto', 'Unisex', 'Perfume', 'Glamorous', 'Woody', '30 ml', 'Hemp, herbal scents, resins, woods, coffee, tobacco, incense, oud.', 'Extrait de Parfum', 'Hemp, herbal scents', 'resins, woods, coffee, tobacco', 'incense, oud.']",none,Nasomatto,Unisex,Perfume,Glamorous,Woody,30 ml,"Hemp, herbal scents, resins, woods, coffee, tobacco, incense, oud.",Extrait de Parfum,"Hemp, herbal scents","resins, woods, coffee, tobacco","incense, oud.",
Versace Eros Pour Homme,219 SAR,"Aromatic fragrance for men is inspired by Greek mythology, the name of the perfume came from Eros, the Greek god of love and the son of the goddess Aphrodite, and its scent reveals the unrestricted passion, with a mixture of mint, ambroxan, and vetiver.
About the brand:
Versace deserves no introduction. It produces luxury Italian-made ready-to-wear and leather accessories. Versace has also succeeded in introducing and promoting a wide variety of perfumes for men and women.",4.9,13 Rating,"['Versace', 'Men', 'Perfume', 'Extravagant', 'Aromatic', '100 ml', '2012', 'Mint, green apple, lemon, tonka, geranium, ambroxan, madagascar vanilla, vetiver, oak moss, virginia cedar, atlantic cedar.', 'Eau de Toilette', 'Mint, Green apple, Lemon', 'Tonka bean, Geranium, Ambroxan', 'Madagascar vanilla, Vetiver, Oakmoss, Virginian cedar, Altas cedar']",none,Versace,Men,Perfume,Extravagant,Aromatic,100 ml,2012,"Mint, green apple, lemon, tonka, geranium, ambroxan, madagascar vanilla, vetiver, oak moss, virginia cedar, atlantic cedar.",Eau de Toilette,"Mint, Green apple, Lemon","Tonka bean, Geranium, Ambroxan","Madagascar vanilla, Vetiver, Oakmoss, Virginian cedar, Altas cedar"
Lacoste Eau De Lacoste L.12.12 Blanc,175 SAR,"The White color of this pure classic floral woody fragrance represents freshness, simplicity and elegance. It provides you with a masculine scent full of leadership spirits so you influence everyone around, thanks to its combination of grapefruit, y-lang y-lang and cedar.
About the brand:
Lacoste is a French company, established in 1933 by tennis players René Lacoste and André Gillier. Its green crocodile logo refers to the nickname of René Lacoste, who was nicknamed ""the Crocodile"" by his fans, because of his tenacity on the tennis court. The company is committed to designing products that combine discovery, excellence, and style. It sells parfumes, clothing, leather goods, towels, footwear, sportswear, eyewear, and watches.",4.6,5 Rating,"['Lacoste', 'Men', 'Perfume', 'Natural', 'Aromatic', '100 ml', '2011', 'Grapefruit, Cardamom, Rosemary, Cedar Leaf, Tuberose Absolute, Olibanum Resinoid, Ylang-Ylang, Vetiver, Suede, Cedarwood, Georgywood', 'Eau de Toilette', 'Grapefruit, Cardamom, Rosemary, Cedar Leaf', 'Tuberose Absolute, Olibanum Resinoid, Ylang-Ylang', 'Vetiver, Suede, Cedarwood, Georgywood']",none,Lacoste,Men,Perfume,Natural,Aromatic,100 ml,2011,"Grapefruit, Cardamom, Rosemary, Cedar Leaf, Tuberose Absolute, Olibanum Resinoid, Ylang-Ylang, Vetiver, Suede, Cedarwood, Georgywood",Eau de Toilette,"Grapefruit, Cardamom, Rosemary, Cedar Leaf","Tuberose Absolute, Olibanum Resinoid, Ylang-Ylang","Vetiver, Suede, Cedarwood, Georgywood"
The Finest Oud EDP - 100 ml,249 SAR,"“Warm, deep and rich""
A fragrant blend with endless creativity! Rich in its luxurious oriental Oud, deep thanks to its amber and musky notes, and warm with its woody notes, cashmere, and guaiac. This distinctive aromatic fragrance will not leave your side, as it lasts for long hours, and brings out a harmonious & beautiful Oud scent.
About the brand:
Discover this collection of charming & velvety oriental perfumes ""The Finest"". A luxurious set characterized by its elegance & charm, introducing the most endearing Arabic notes in its essence. “The Finest” offers a new take on Oriental fragrances, revealing its uniqueness through its main 3 fragrances: Oud, Rose & Amber.",5,1 Rating,"['The Finest', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '100 ml', 'Pink Pepper, Oudy Notes, White Musk', 'Eau de Parfum', 'Pink Pepper', 'Oudy Notes', 'White Musk']",none,The Finest,Unisex,Perfume,Charismatic,Oriental,100 ml,"Pink Pepper, Oudy Notes, White Musk",Eau de Parfum,Pink Pepper,Oudy Notes,White Musk,
