Name,Price,Description,Rate,Rating_count,image,Brand,Gender,Product_Type,Character_x,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Roberto Cavalli Uomo Roberto Cavalli,167,"an elegant oriental fragrance for men that gives you great natural confidence and temptation, with a mixture of black violet, honey, and tonka beans.",4.75,12,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_roberto_cavalli_perfumes_uomo_for_men_eau_de_toilette.jpg,Roberto Cavalli,Men,Perfume,Romantic,Oriental,100 ml,2016,"black violet, saffron, honey, lavender, cedarwood, patchouli, tonka.",Eau de Toilette,"black violet, saffron","honey, lavender","cedarwood, patchouli, tonka."
Mancera Roses Vanille,409,"The perfumer Pierre Mancera presents Roses Vanille which hits you first with notes of fresh lemon of calabria and then sneaks on you with turkish delight and rose with the base notes of cedarwood, intense vanilla & white musk, which lingers on with you the whole day long with Sweet enough to capture you, rich enough to keep you and complex enough to seduce you fragrance.",4.93,18,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/mancera_roses_vanille_3_1.jpg,Mancera,Women,Perfume,Feminine,Floral,120 ml,2017,"fresh lemon of calabria, turkish delight with rose, cedarwood, intense vanilla & white musk",Eau de Parfum,fresh lemon of calabria,"turkish delight, rose","cedarwood, intense vanilla & white musk"
Boucheron Quatre Pour Femme,240,"A fresh fragrance with delicious fruits of peach, strawberry, mandarin, orange, and apple that mixes with a soft and delicate scent of jasmine. This fragrance will touch your soul and adds a strong sense of happiness and beauty from the first moment.",5,4,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_boucheron_perfumes_quatre_pour_femme_for_women_eau_de_perfum.jpg,Boucheron,Women,Perfume,Romantic,Fruity,50 ml,2015,"mandarin, orange, lemon, grapefruit, strawberry, rose, peach, jasmine, apple, cedar, vanilla, cashmere, caramel",Eau de Parfum,"mandarin, orange, lemon, grapefruit","strawberry, rose, peach, jasmine, apple","cedarwood, vanilla, cashmere, caramel"
Mont Blanc Explorer,205,"It is an amazing woody fragrance, designed for men. It's a fragrance that tells the story of adventures, quests and aspirations, in addition to exploring the world. High notes consist of Clary Sage, Pink Pepper, Bergamot, while bottom notes consist of Vetiver, Leather, Cedarwood. This complete blend gives an attractive fragrance.",4.42,13,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/3386460101035c-mont-blanc-explorer---100-ml.jpg,Mont Blanc,Men,Perfume,Romantic,Aromatic,100 ml,2019,"bergamot, pink pepper, clary, sage, leather, haitian, vetiver, indonesian patchouli, leaf cacao, akigalawood",Eau de Parfum,"clary sage, pink pepper, bergamot","patchouli, mahonial, ambrofix","vetiver, leather, cedarwood"
Roberto Cavalli Paradiso Azzurro,174,"A floral fragrance for women inspired by the pictures of the golden light of the sunrise over the blue Mediterranean waters, with its enchanting blend of bergamot, peach, Kashmiri wood and vanilla.",5,3,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_roberto_cavalli_perfumes_paradiso_azzurro_for_women_eau_de_parfum.jpg,Roberto Cavalli,Women,Perfume,Romantic,Floral,50 ml,2015,"citrus freshness, bergamot, lavender, wild jasmine, petals, cypress, cashmere.",Eau de Parfum,"citrus, bergamot, lavender","wild jasmine, petals","cypress, cashmere woods"
Parfums de Marly Layton Exclusif EDP,1438,"Luxurious woody fragrance made of the most rare components around the world. It all starts with notes of almond and bergamot mixed with sweetness of mandarin orange. The watery notes add some touch to the scent, which make it special. The rich heart has notes of rose and gardenia, mixed with geranium and the delicate water lily. The base has accords of guaiac wood, mixed with luxurious oud and Indonesian Patchouli and the amazing sandalwood. The notes of amber and oakmoss, mixed with pink pepper and vanilla adds to the richness of the composition.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/7/3700578518149_marly_layton_exclusif_edition_royal.jpg,Parfums de Marly,Women,Perfume,Romantic,Floral Oriental,125 ml,2017,"almond, mandarin orange, bergamot, watery notes, civet, geranium, rose, gardenia, water lily, guaiac wood, laotian oud, vanilla, coffee, sandalwood, indonesian patchouli leaf, oakmoss, amber, pink pepper",Eau de Parfum,"almond, mandarin orange, bergamot, watery notes","civet, geranium, rose, gardenia, water lily","guaiac wood, laotian oud, vanilla, coffee, sandalwood, indonesian patchouli leaf, oakmoss, amber, pink pepper"
Juicy Couture Viva La Juicy,252,"alluring and charming, this fragrance is inspired by the sparkling girl. the Viva la Juicy girl finds priceless elegance in the everyday. Viva la Juicy mixes attractive wild berries and mandarin with creamy vanilla, praline, jasmine, and honeysuckle. Hugging the imprint Juicy addiction, Viva la Juicy is both hilarious and charming.",4.75,6,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/u/juicy_couture_viva_la_juicy.jpg,Juicy Couture,Women,Perfume,Romantic,Fruity,100 ml,2008,"mandarin, cranberry, honeysuckle, gardenia, jasmine, amber, caramel, almond candy, sandalwood, vanilla",Eau de Parfum,"mandarin, cranberry","capricorn, gardenia, jasmine,","amber, caramel, almond candy, sandalwood, vanilla"
Maqam Base of Soul EDP ,319,"It takes only one encounter to fall in love with this oriental fragrance & reside in your memories forever! It has been composed as a sensual aroma, taking you on a profound journey into the world of Eastern notes. You will wander between saffron & rose elegance, settling on a soulful base combined by musk & sandalwood.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maqam_base_of_soul-2.png,Maqam,Women,Perfume,Romantic,Oriental,120 ml,2020,"saffron, rose, musk, sandalwod",Eau de Parfum,saffron,rose,"musk, sandalwod"
The Finest Rose EDP ,249,"""Luxurious, Floral and soft""
A fragrant blend with endless creativity! Luxurious with its saffron component, Floral thanks to its Bulgarian rose notes and lilies, and soft from its attractive and romantic musk notes. This distinctive fragrance will not leave your side, as it lasts for long hours, and brings out a harmonious & beautiful Rose scent.",5,2,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/the-finest-rose.jpg,The Finest,Women,Perfume,Romantic,Floral,100 ml,2017,"saffron, bulgarian rose, musk",Eau de Parfum,saffron,bulgarian rose,musk
The Finest Rose EDP ,249,"""Luxurious, Floral and soft""
A fragrant blend with endless creativity! Luxurious with its saffron component, Floral thanks to its Bulgarian rose notes and lilies, and soft from its attractive and romantic musk notes. This distinctive fragrance will not leave your side, as it lasts for long hours, and brings out a harmonious & beautiful Rose scent.",5,2,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/the-finest-rose.jpg,The Finest,Women,Perfume,Romantic,Floral,100 ml,2017,"saffron, bulgarian rose, musk",Eau de Parfum,saffron,bulgarian rose,musk
Al Majed For Oud Maamoul Dossary ,58,It's an oriental incense extracted from the luxurious oud to fill your house with vitality and freshness. The intense scent spreads quickly and lasts for a long time.,none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285091015032-almajed-for-oud-maamoul-dossary---130-gm-1.png,Al Majed For Oud,Unisex,Bakhoor,Charismatic,Oud,100 ml,2017,unknown,Eau de Parfum,unknown,unknown,unknown
Calvin Klein Euphoria Men Intense,145,"A mixture of an infinite number of oriental spices with strong fragrances that give you a distinctive oriental charm and a shiny romantic touch that makes you special on special days and special evenings, the fragrance has a strong smell that spreads quickly and draws attention easily to you",4,3,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/calvin_klein_euphoria_men_intense_eau_de_toilette_1.jpg,Calvin Klein,Women,Perfume,Romantic,Soft Oriental,100 ml,2008,"ginger, hot pepper, warm cedar, smoky vetiver, savory sage, spicy black basil, myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood",Eau de Toilette,"ginger, hot pepper","warm cedar, smoky vetiver, savory sage, spicy black basil","myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood"
Penhaligon's The Tragedy of Lord George,1254,"The Tragedy of Lord George by Penhaligon's is a popular oriental fragrance for men from its Portrait range. This perfume is perfect for men who want to smell different in all circumstances. This unique perfume smells masculine with notes of brandy, shaving soap, and tonka bean hypnotizing your senses.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/9/793675976069_penhaligon_s_the_tragedy_of_lord_g_edp_75ml_1.jpg,Penhaligon's,Men,Perfume,Masculine,Woody,75 ml,2016,"brandy, shaving soap, tonka bean",Eau de Parfum,brandy,shaving soap,tonka bean
Versace Crystal Noir EDP,252,"An oriental floral fragrance for women, giving you the perfect sensuality and charm, with a wonderful mixture of cardamom, peony, musk, and amber.",5,5,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/e/versace_crystal_noir_eau_de_toilette_1.jpg,Versace,Women,Perfume,Romantic,Floral Oriental,90 ml,2004,"ginger, cardamom, pepper, orange buds, peony, gardenia, coconut, sandalwood, musk, amber.",Eau de Parfum,"ginger, cardamom, pepper","orange buds, peony, gardenia, coconut","sandalwood, musk, amber."
Very Important Notes No 2 EDP ,295,"For the Royal soul in you. This fragrance is the most profound scent from Very Important Notes collection. A true eastern masterpiece, merging amber, oud wood, Bulgarian rose & saffron to bring out an exquisite scent of the desert.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/i/vin_2-ver2-3.jpg,Very Important Notes,Unisex,Perfume,Charismatic,Floral Oriental,100 ml,2020,"saffron, pepper ,rose ,oud, amber",Eau de Parfum,"saffron, pepper",rose,"oud, amber"
Maqam Base of Melody EDP ,319,"Playing its own melody & exotic oriental beauty, a true creative Arabian fragrance has emerged! Like a well-designed melody, this fragrance releases the most irresistible components gradually & elegantly. As it starts with gentle delicate notes of lavender & nutmeg, it then slowly draws you into a world of deeply earthy warm notes of patchouli & amber.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maqam_base_of_melody-2.png,Maqam,Unisex,Perfume,Romantic,Oriental,120 ml,2020,"nutmeg, lavender, patchouli, amber",Eau de Parfum,"nutmeg, lavender",patchouli,amber
Givenchy L' Interdit,362,Givenchy L' Interditits new perfume for women with a new fragrance in a bold feminine style. With perfect and beautiful scents that allow no rules. An invitation to challenge convention and embrace your singularity.,none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3274872372146_givenchy_l_interdit_edp_50_ml.jpg,Givenchy,Women,Perfume,Romantic,Fruity,50 ml,2016,"orange blossom, jasmine and tuberose, vetiver and patchouli.",Eau de Parfum,orange blossom,jasmine and tuberose, vetiver and patchouli.
Mont Blanc Emblem,144,"Emblem is Montblanc's latest masculine arrival embodies a unique authentic essence. A burst of clary sage and cardamom mixed with sparkling grapefruit immediately reveals a strong, contrasted, harmonious and flamboyant fragrance. The crispy green frosted violet leaves wrapped in cinnamon leaves capture the incredibly elegant character of the fragrance. The dry-down is an alchemy of vibrant precious woods with tonka beans, unveiling a very unique signature.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/3386460058735c-mont-blanc-emblem---100-ml.jpg,Mont Blanc,Men,Perfume,Romantic,Woody Oriental,100 ml,2014,"grapefruit, sage, cardamom, violet leaf, cinnamon, wood, tonka bean",Eau de Toilette,"clary sage, cardamom, grapefruit","frozen violet leaf, cinnamon","woods, tonka bean"
Dolce & Gabbana The One Mysterious Night,374,"A fragrance for men from the oriental spice family, masculine and very attractive, made especially for the distinctive and bold man, with a blend of saffron, oud, and tonka.",4.5,2,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/_/d_g_the_one_exclusive_edition_1_.jpg,Dolce & Gabbana,Men,Perfume,Extravagant,Oriental,100 ml,2018,"saffron, grapefruit, rose, oud, sage, amber, woody notes, labdanum, tonka bean.",Eau de Parfum,"saffron, grapefruit","rose, oud, sage","amber, woody notes, labdanum, tonka bean."
Dolce & Gabbana The One for Men EDT,239,"A woody fragrance for men characterized by its sense of elegance and charm, refreshing for all time, with a wonderful mixture of tobacco extract, spices, grapefruit, coriander and basil with accents of cardamom and ginger that highlight the beauty of your look.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/o/dolce_gabbana_the_one_for_men_eau_de_toilette_1.jpg,Dolce & Gabbana,Men,Perfume,Romantic,Woody,100 ml,2008,"coriander, basil, grapefruit, ginger, orange buds, cardamom, amber, cedar, tobacco",Eau de Toilette,"grapefruit, coriander, basil","ginger, orange buds, cardamom","amber, cedar, tobacco"
The Finest Oud EDP ,249,"""Warm, deep and rich""
A fragrant blend with endless creativity! Rich in its luxurious oriental Oud, deep thanks to its amber and musky notes, and warm with its woody notes, cashmere, and guaiac. This distinctive aromatic fragrance will not leave your side, as it lasts for long hours, and brings out a harmonious & beautiful Oud scent.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/the-finest-oud.jpg,The Finest,Unisex,Perfume,Charismatic,Oriental,100 ml,2017,"pink pepper, oudy notes, white musk",Eau de Parfum,pink pepper,oudy notes,white musk
Maqam Base of Poetry EDP ,319,"A romantic fragrance that conveys a beautiful mystical blend. A harmonious balance filled with appealing Arabian notes, easily distinguished from other oriental scents. In the beginning, it unveils refreshing aromas of orange & cinnamon, then reveals a passionate blend of roses & clove, surrendering at the end to a powerful base made from musk & vanilla.",5,2,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maqam_base_of_poetry-2.png,Maqam,Men,Perfume,Romantic,Oriental,120 ml,2020,"orange, cinammon, rose, clove, musk, vanilla",Eau de Parfum,"orange, cinammon","rose, clove","musk, vanilla"
Maqam Base of Poetry EDP ,319,"A romantic fragrance that conveys a beautiful mystical blend. A harmonious balance filled with appealing Arabian notes, easily distinguished from other oriental scents. In the beginning, it unveils refreshing aromas of orange & cinnamon, then reveals a passionate blend of roses & clove, surrendering at the end to a powerful base made from musk & vanilla.",5,2,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maqam_base_of_poetry-2.png,Maqam,Men,Perfume,Romantic,Oriental,120 ml,2020,"orange, cinammon, rose, clove, musk, vanilla",Eau de Parfum,"orange, cinammon","rose, clove","musk, vanilla"
Ajwa Home Powder ,35,"Ajwa Home Scent Spray Powder is a home fragrance which replaces the bad odour and makes the atmosphere gaiety. This home fragrance is long-lasting, refreshing and aromatic. It is suitable for daily cleaning routine.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287001780580_ajwa_home_home_scent_from_ajwa_home_powder_-1.jpg,Ajwa,Home,Room Spray,Romantic,Floral,100 ml,2017,unknown,Eau de Parfum,unknown,unknown,unknown
Versace Dylan Blue Pour Homme,245,"Aromatic fragrance for men reflects the colors of the Mediterranean Sea and its civilizations and contains distinctive fresh scents that have a sensual nature that combines desire, passion, ambition and sophistication with a mixture of bergamot, patchouli, musk, and saffron.",5,4,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_versace_perfumes_dylan_blue_pour_homme_for_men_eau_de_toilette.jpg,Versace,Men,Perfume,Romantic,Aromatic,50 ml,2016,"water notes, calabrian bergamot, grapefruit, fig leaf, violet leaf, papyrus, patchouli, black pepper, ambroxan, musk, incense, tonka bean, saffron",Eau de Toilette,"calabrian bergamot, grapefruit, fig leaves","violet leaf, papyrus wood, organic patchouli, black pepper, ambrox","mineral musks, tonka bean, incense, saffron."
Roberto Cavalli Nero Assoluto,169,"An oriental floral fragrance that gives you the perfect presence wherever you go, with an amazing mixture of orchids, vanilla, and ebony.",4.5,3,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/roberto_cavalli_nero_absoluto_eau_de_parfum_1.jpg,Roberto Cavalli,Women,Perfume,Romantic,Floral Oriental,50 ml,2013,"orchids, citrus fruits, vanilla, ebony, woods.",Eau de Parfum,"orchids, citrus fruits",vanilla,"woods, ebony wood"
Nicolai Patchouli Intense,1665,"A multifaceted warm spicy and strong fragrance for men and women opens with lavender, geranium, orange. Heart notes are ceylon cinnamon, rose, patchouli. Base notes are sandalwood, amber, vanilla.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_nicolai_perfumes_patchouli_eau_de_parfum_100ml_1.jpg,Nicolai,Women,Perfume,Romantic,Floral,100 ml,2017,"patchouli, lavender, sandalwood, vanilla, orange",Eau de Parfum,"lavender, orange","sandalwood, vanilla",patchouli
Givenchy Eau De Moiselle,306,"Create a vintage vibe around your outfit by wearing Eau Demoiselle perfume from Givenchy. This fragrance is wholly on its own. It is not quite modern but not quite traditional. It exists on its own terms with a composition that consists of notes of Italian winter lemon, tangerine, ylang-ylang, rose, Japanese basil, tonka, ambrette seed, and musk. Eau Demoiselle offers the sensation of walking through a garden on a dewy morning. Its composition was developed by the expert perfumer, Francois Demachy. This perfume is available in a gorgeous, cylindrical flacon.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/i/givenchy_eau_de_moiselle_eau_de_toilette_1.jpg,Givenchy,Women,Perfume,Romantic,Floral,50 ml,2008,"lemon, tangerine, basil,ylang-ylang, rose,musk, tonka bean, ambrette (musk mallow)",Eau de Toilette,"lemon, tangerine, basil","ylang-ylang, rose","musk, tonka bean, ambrette (musk mallow)"
Remal Oud Wood Bakhoor ,125,"Created from the finest oud wood, this classical incense is refined and long-lasting. It is distinguished by its woody aromatic fragrance, blended harmoniously with musk and amber, for a perfect Arabian aroma that fills all corners of your house. This incense contains one of the most popular types of oud, as the oud wood is distinguished by its unique smoky fragrance, which will surround the houseÃ¢â‚¬â„¢s atmosphere with a luxurious and sophisticated feel.",5,2,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/r/e/remal_oud_wood_2.jpg,Remal,Unisex,Perfume,Charismatic,Oriental,100 ml,2020,"agarwood, musk, amber",Eau de Parfum,agarwood,musk,amber
Remal Oud Wood Bakhoor ,125,"Created from the finest oud wood, this classical incense is refined and long-lasting. It is distinguished by its woody aromatic fragrance, blended harmoniously with musk and amber, for a perfect Arabian aroma that fills all corners of your house. This incense contains one of the most popular types of oud, as the oud wood is distinguished by its unique smoky fragrance, which will surround the houseâ€™s atmosphere with a luxurious and sophisticated feel.",5,2,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/r/e/remal_oud_wood_2.jpg,Remal,Unisex,Perfume,Charismatic,Oriental,100 ml,2020,"agarwood, musk, amber",Eau de Parfum,agarwood,musk,amber
Candy Addict Rosy Rose Hair Mist ,179,"This seductive, addictive hair mist will keep you coming back for more! The gentle, sophisticated fragrance will delicately scent your hair with floral notes of rose and geranium and musk. Pure heaven.
Moisturize, soften and strengthen your hair with Vitamin E, a powerful antioxidant, and Provitamin B5. Give your hair that extra shine and volume that it deserves, whilst leaving your hair less prone to breakage.
How to use:
From about 20 cms away, spritz the mist evenly over your hair.
Then smile, this is going to be your day!
Don't forget to shake the bottle before use to liven up the candy!
Reapply throughout the day whenever you need a dose of fabulousness!",5,7,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/candy_addict_rosy_rose_hair_mist_100_ml_2_1_.png,Candy Addict,Women,Hair Mist,Romantic,Floral,100 ml,2019,"rose, geranium, musk",Eau de Parfum,rose,geranium,musk
Al Majed For Oud Dkhoon Al,174,"This incense is made of the elegant oriental oud extract, along with French touches of soft delicate scents. It spreads quickly, filling the place with an amazing scent that lasts for long hours. The scent is perfect for events and occasions.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285091015131-almajed-for-oud-dakhoun-al-shiyoukh---56-gm-1.png,Al Majed For Oud,Unisex,Bakhoor,Charismatic,Oud,100 ml,2017,unknown,Eau de Parfum,unknown,unknown,unknown
